country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
USA,North America,32404463,581061.0,24961229,6862173,9814.0,97443,1747.0,429220719.0,1290703.0,332547930
Uzbekistan,Asia,86982,638.0,84307,2037,23.0,2569,19.0,1377915.0,40702.0,33854114
Vanuatu,Australia/Oceania,3,,1,2,,10,,470.0,1502.0,312820
Venezuela,South America,183190,1905.0,165959,15326,274.0,6457,67.0,3359014.0,118394.0,28371608
Viet Nam,Asia,2785,35.0,2475,275,,28,,2598753.0,26508.0,98035043
Wallis And Futuna Islands,Australia/Oceania,438,5.0,44,389,3.0,39527,451.0,11002.0,992871.0,11081
Western Sahara,Africa,10,1.0,8,1,,16,2.0,,,608945
Yemen,Asia,5812,1126.0,2219,2467,23.0,192,37.0,22934.0,756.0,30345627
Zambia,Africa,90918,1235.0,88718,965,50.0,4839,66.0,1346505.0,71660.0,18790228
Zimbabwe,Africa,37751,1553.0,35019,1179,12.0,2511,103.0,402475.0,26770.0,15034611
